patay;mamatay;namatay;namamatay;mamamatay
tuto;matuto;natuto;natututo;matututo
dinig;marinig;narinig;naririnig;maririnig
kinig;makiníg;nakinig;nakikinig;makikinig
kita;makita;nakita;nakikita;makikita
nood;manood;nanood;nanonood;manonood
tunaw;matunaw;natunaw;natutunaw;matutunaw
tulog;matulog;natulog;natutulog;matutulog
panalo;manalo;nanalo;nananalo;mananalo
linis;malinis;nalinis;nalilinis;malilinis
hulog;mahulog;nahulog;nahuhulog;mahuhulog
